terminarz_ID;typ;data;godz;grupa_lekcji_id;opis;;;;
1;Zadanie domowe;2020-11-23;14:05:00;226;Brak opisu;;2020-09-01;;Sprawdzian
2;Zadanie domowe;2020-10-24;15:50:00;110;Brak opisu;;;;Kartkówka
3;Kartkówka;2020-10-25;15:00:00;28;Brak opisu;;;;Inne
4;Zadanie domowe;2020-11-13;09:35:00;179;Brak opisu;;;;Zadanie domowe
5;Inne;2020-10-21;09:35:00;166;Brak opisu;;;;
6;Kartkówka;2020-10-23;15:50:00;6;Brak opisu;;;;
7;Inne;2020-12-03;15:00:00;149;Brak opisu;;;;
8;Inne;2020-09-22;10:30:00;228;Brak opisu;;;;
9;Zadanie domowe;2020-10-16;12:10:00;200;Brak opisu;;;;
10;Kartkówka;2020-12-08;08:45:00;103;Brak opisu;;;;
11;Sprawdzian;2020-09-29;08:45:00;109;Brak opisu;;;;
12;Inne;2020-10-06;15:00:00;175;Brak opisu;;;;
13;Sprawdzian;2020-11-15;13:10:00;95;Brak opisu;;;;
14;Inne;2020-11-25;15:00:00;216;Brak opisu;;;;
15;Sprawdzian;2020-10-10;10:30:00;105;Brak opisu;;;;
16;Zadanie domowe;2020-10-10;08:45:00;88;Brak opisu;;;;
17;Sprawdzian;2020-10-16;12:10:00;16;Brak opisu;;;;
18;Inne;2020-10-09;14:05:00;2;Brak opisu;;;;
19;Sprawdzian;2020-12-04;14:05:00;157;Brak opisu;;;;
20;Kartkówka;2020-11-13;14:05:00;125;Brak opisu;;;;
21;Zadanie domowe;2020-10-27;09:35:00;64;Brak opisu;;;;
22;Sprawdzian;2020-11-07;12:10:00;61;Brak opisu;;;;
23;Zadanie domowe;2020-11-17;13:10:00;176;Brak opisu;;;;
24;Zadanie domowe;2020-09-26;13:10:00;217;Brak opisu;;;;
25;Inne;2020-10-19;14:05:00;1;Brak opisu;;;;
26;Inne;2020-11-22;11:25:00;15;Brak opisu;;;;
27;Inne;2020-10-28;11:25:00;66;Brak opisu;;;;
28;Sprawdzian;2020-09-11;09:35:00;146;Brak opisu;;;;
29;Sprawdzian;2020-11-13;08:45:00;29;Brak opisu;;;;
30;Zadanie domowe;2020-09-22;15:50:00;16;Brak opisu;;;;
31;Kartkówka;2020-09-21;13:10:00;172;Brak opisu;;;;
32;Inne;2020-11-27;08:45:00;46;Brak opisu;;;;
33;Kartkówka;2020-09-20;14:05:00;143;Brak opisu;;;;
34;Zadanie domowe;2020-11-17;11:25:00;44;Brak opisu;;;;
35;Zadanie domowe;2020-11-25;11:25:00;200;Brak opisu;;;;
36;Sprawdzian;2020-11-27;15:00:00;63;Brak opisu;;;;
37;Inne;2020-11-24;11:25:00;141;Brak opisu;;;;
38;Sprawdzian;2020-09-12;08:45:00;108;Brak opisu;;;;
39;Sprawdzian;2020-12-03;15:50:00;140;Brak opisu;;;;
40;Kartkówka;2020-10-12;10:30:00;184;Brak opisu;;;;
41;Zadanie domowe;2020-09-18;11:25:00;219;Brak opisu;;;;
42;Sprawdzian;2020-10-21;11:25:00;235;Brak opisu;;;;
43;Inne;2020-12-01;09:35:00;19;Brak opisu;;;;
44;Kartkówka;2020-10-03;15:00:00;5;Brak opisu;;;;
45;Kartkówka;2020-10-13;11:25:00;224;Brak opisu;;;;
46;Sprawdzian;2020-09-28;09:35:00;10;Brak opisu;;;;
47;Sprawdzian;2020-09-27;13:10:00;199;Brak opisu;;;;
48;Inne;2020-10-31;14:05:00;96;Brak opisu;;;;
49;Zadanie domowe;2020-11-12;14:05:00;162;Brak opisu;;;;
50;Kartkówka;2020-10-10;09:35:00;113;Brak opisu;;;;
51;Zadanie domowe;2020-09-23;15:50:00;227;Brak opisu;;;;
52;Inne;2020-09-15;15:00:00;151;Brak opisu;;;;
53;Inne;2020-10-19;15:50:00;116;Brak opisu;;;;
