ID;temat;data;godz_rozp;godz_zak;klasa;nauczyciel;przedmiot
000001;Brak_tematu;2020-12-23;08:00:00;08:45:00;10;073;fizyka
000002;Brak_tematu;2020-05-06;08:00:00;08:45:00;14;043;geografia
000003;Brak_tematu;2020-11-11;08:00:00;08:45:00;12;083;geografia
000004;Brak_tematu;2020-07-14;08:00:00;08:45:00;04;011;wf
000005;Brak_tematu;2020-02-06;08:00:00;08:45:00;13;012;geografia
000006;Brak_tematu;2020-01-27;08:00:00;08:45:00;02;062;matematyka
000007;Brak_tematu;2020-11-23;08:00:00;08:45:00;12;076;historia
000008;Brak_tematu;2020-03-25;08:00:00;08:45:00;01;094;wf
000009;Brak_tematu;2020-03-19;08:00:00;08:45:00;08;066;j.angielski
000010;Brak_tematu;2020-02-01;08:00:00;08:45:00;12;011;wf
000011;Brak_tematu;2020-03-07;08:00:00;08:45:00;01;050;chemia
000012;Brak_tematu;2020-03-01;08:00:00;08:45:00;02;054;biologia
000013;Brak_tematu;2020-11-18;08:00:00;08:45:00;13;042;matematyka
000014;Brak_tematu;2020-03-27;08:00:00;08:45:00;09;061;j.angielski
000015;Brak_tematu;2020-02-09;08:00:00;08:45:00;03;084;WOS
000016;Brak_tematu;2020-01-23;08:00:00;08:45:00;11;083;geografia
000017;Brak_tematu;2020-10-26;08:00:00;08:45:00;15;058;geografia
000018;Brak_tematu;2020-01-15;08:00:00;08:45:00;07;094;wf
000019;Brak_tematu;2020-04-10;08:00:00;08:45:00;16;036;chemia
000020;Brak_tematu;2020-08-01;08:00:00;08:45:00;07;021;geografia
000021;Brak_tematu;2020-03-09;08:00:00;08:45:00;16;097;historia
000022;Brak_tematu;2020-09-11;08:00:00;08:45:00;11;027;matematyka
000023;Brak_tematu;2020-06-26;08:00:00;08:45:00;13;087;j.angielski
000024;Brak_tematu;2020-09-10;08:00:00;08:45:00;15;100;WOS
000025;Brak_tematu;2020-05-07;08:00:00;08:45:00;07;006;historia
000026;Brak_tematu;2020-01-10;08:00:00;08:45:00;02;042;matematyka
000027;Brak_tematu;2020-01-03;08:00:00;08:45:00;11;016;matematyka
000028;Brak_tematu;2020-07-12;08:00:00;08:45:00;01;082;j.niemiecki
000029;Brak_tematu;2020-02-16;08:00:00;08:45:00;09;054;biologia
000030;Brak_tematu;2020-01-27;08:00:00;08:45:00;15;078;geografia
000031;Brak_tematu;2020-07-14;08:00:00;08:45:00;09;081;chemia
000032;Brak_tematu;2020-09-05;08:00:00;08:45:00;13;097;historia
000033;Brak_tematu;2020-12-10;08:00:00;08:45:00;15;037;j.polski
000034;Brak_tematu;2020-11-05;08:00:00;08:45:00;12;007;wf
000035;Brak_tematu;2020-04-20;08:00:00;08:45:00;06;010;biologia
000036;Brak_tematu;2020-11-01;08:00:00;08:45:00;10;004;historia
000037;Brak_tematu;2020-01-01;08:00:00;08:45:00;09;021;geografia
000038;Brak_tematu;2020-02-25;08:00:00;08:45:00;06;043;geografia
000039;Brak_tematu;2020-09-03;08:00:00;08:45:00;13;044;j.polski
000040;Brak_tematu;2020-02-24;08:00:00;08:45:00;11;013;fizyka
000041;Brak_tematu;2020-02-16;08:00:00;08:45:00;14;041;fizyka
000042;Brak_tematu;2020-09-06;08:00:00;08:45:00;10;088;biologia
000043;Brak_tematu;2020-02-03;08:00:00;08:45:00;09;096;biologia
000044;Brak_tematu;2020-06-05;08:00:00;08:45:00;02;022;historia
000045;Brak_tematu;2020-09-26;08:00:00;08:45:00;09;062;matematyka
000046;Brak_tematu;2020-06-27;08:00:00;08:45:00;06;025;wf
000047;Brak_tematu;2020-10-25;08:00:00;08:45:00;08;024;j.polski
000048;Brak_tematu;2020-10-18;08:00:00;08:45:00;15;056;j.polski
000049;Brak_tematu;2020-02-16;08:00:00;08:45:00;06;076;historia
000050;Brak_tematu;2020-09-10;08:00:00;08:45:00;15;046;j.niemiecki
000051;Brak_tematu;2020-03-18;08:00:00;08:45:00;08;041;fizyka
000052;Brak_tematu;2020-01-21;08:00:00;08:45:00;14;099;j.polski
000053;Brak_tematu;2020-10-02;08:00:00;08:45:00;03;041;fizyka
000054;Brak_tematu;2020-11-26;08:00:00;08:45:00;05;047;geografia
000055;Brak_tematu;2020-07-08;08:00:00;08:45:00;07;074;j.niemiecki
000056;Brak_tematu;2020-11-02;08:00:00;08:45:00;16;015;j.polski
000057;Brak_tematu;2020-05-16;08:00:00;08:45:00;14;019;j.angielski
000058;Brak_tematu;2020-02-02;08:00:00;08:45:00;08;027;matematyka
000059;Brak_tematu;2020-03-26;08:00:00;08:45:00;05;025;wf
000060;Brak_tematu;2020-08-08;08:00:00;08:45:00;10;091;chemia
000061;Brak_tematu;2020-08-17;08:00:00;08:45:00;08;086;WOS
000062;Brak_tematu;2020-09-06;08:00:00;08:45:00;11;087;j.angielski
000063;Brak_tematu;2020-10-21;08:00:00;08:45:00;12;039;fizyka
000064;Brak_tematu;2020-02-10;08:00:00;08:45:00;01;016;matematyka
000065;Brak_tematu;2020-12-08;08:00:00;08:45:00;03;046;j.niemiecki
