ID;status;uczen;lekcja
0000001;nieobecny;010;000001
0000002;spozniony;013;000001
0000003;spozniony;014;000001
0000004;nieobecny;052;000001
0000005;nieobecny;111;000001
0000006;obecny;127;000001
0000007;spozniony;144;000001
0000008;spozniony;147;000001
0000009;nieobecny;168;000001
0000010;nieobecny;202;000001
0000011;obecny;246;000001
0000012;spozniony;273;000001
0000013;spozniony;275;000001
0000014;nieobecny;277;000001
0000015;nieobecny;342;000001
0000016;obecny;354;000001
0000017;obecny;358;000001
0000018;nieobecny;372;000001
0000019;nieobecny;374;000001
0000020;nieobecny;379;000001
0000021;spozniony;446;000001
0000022;obecny;450;000001
0000023;nieobecny;471;000001
0000024;obecny;472;000001
0000025;nieobecny;478;000001
0000026;obecny;009;000002
0000027;obecny;025;000002
0000028;obecny;057;000002
0000029;obecny;071;000002
0000030;nieobecny;073;000002
0000031;spozniony;084;000002
0000032;obecny;094;000002
0000033;obecny;097;000002
0000034;obecny;103;000002
0000035;nieobecny;124;000002
0000036;obecny;135;000002
0000037;nieobecny;139;000002
0000038;obecny;166;000002
0000039;nieobecny;173;000002
0000040;spozniony;196;000002
0000041;spozniony;216;000002
0000042;nieobecny;254;000002
0000043;nieobecny;282;000002
0000044;obecny;291;000002
0000045;obecny;331;000002
0000046;spozniony;338;000002
0000047;nieobecny;367;000002
0000048;nieobecny;368;000002
0000049;obecny;373;000002
0000050;obecny;387;000002
0000051;obecny;416;000002
0000052;obecny;438;000002
0000053;nieobecny;440;000002
0000054;spozniony;453;000002
0000055;nieobecny;465;000002
0000056;obecny;469;000002
0000057;obecny;023;000003
0000058;obecny;032;000003
0000059;spozniony;061;000003
0000060;nieobecny;064;000003
0000061;nieobecny;072;000003
0000062;obecny;093;000003
0000063;nieobecny;162;000003
0000064;spozniony;193;000003
0000065;spozniony;194;000003
0000066;nieobecny;212;000003
0000067;nieobecny;219;000003
0000068;spozniony;222;000003
0000069;nieobecny;229;000003
0000070;nieobecny;232;000003
0000071;spozniony;242;000003
0000072;spozniony;261;000003
0000073;nieobecny;271;000003
0000074;obecny;278;000003
0000075;spozniony;300;000003
0000076;obecny;318;000003
0000077;obecny;335;000003
0000078;spozniony;355;000003
0000079;obecny;363;000003
0000080;spozniony;377;000003
0000081;spozniony;383;000003
0000082;nieobecny;390;000003
0000083;nieobecny;406;000003
0000084;obecny;431;000003
0000085;spozniony;027;000004
0000086;nieobecny;047;000004
0000087;obecny;091;000004
0000088;obecny;107;000004
0000089;nieobecny;109;000004
0000090;spozniony;123;000004
0000091;obecny;182;000004
0000092;obecny;220;000004
0000093;nieobecny;252;000004
0000094;obecny;276;000004
0000095;spozniony;292;000004
0000096;nieobecny;305;000004
0000097;spozniony;306;000004
0000098;nieobecny;344;000004
0000099;nieobecny;346;000004
0000100;obecny;361;000004
0000101;obecny;362;000004
0000102;nieobecny;376;000004
0000103;nieobecny;381;000004
0000104;spozniony;386;000004
0000105;spozniony;452;000004
0000106;spozniony;005;000005
0000107;obecny;033;000005
0000108;nieobecny;074;000005
0000109;obecny;080;000005
0000110;spozniony;129;000005
0000111;obecny;153;000005
0000112;obecny;172;000005
0000113;spozniony;179;000005
0000114;obecny;208;000005
0000115;obecny;285;000005
0000116;spozniony;290;000005
0000117;spozniony;294;000005
0000118;obecny;343;000005
0000119;nieobecny;351;000005
0000120;spozniony;375;000005
0000121;obecny;389;000005
0000122;spozniony;397;000005
0000123;spozniony;420;000005
0000124;nieobecny;443;000005
0000125;nieobecny;003;000006
0000126;nieobecny;007;000006
0000127;spozniony;021;000006
0000128;obecny;028;000006
0000129;spozniony;030;000006
0000130;obecny;048;000006
0000131;nieobecny;051;000006
0000132;spozniony;058;000006
0000133;obecny;065;000006
0000134;nieobecny;075;000006
0000135;spozniony;079;000006
0000136;obecny;102;000006
0000137;nieobecny;140;000006
0000138;nieobecny;150;000006
0000139;obecny;152;000006
0000140;nieobecny;169;000006
0000141;spozniony;184;000006
0000142;obecny;185;000006
0000143;nieobecny;192;000006
0000144;spozniony;230;000006
0000145;nieobecny;234;000006
0000146;nieobecny;236;000006
0000147;nieobecny;251;000006
0000148;obecny;269;000006
0000149;obecny;301;000006
0000150;obecny;330;000006
0000151;nieobecny;341;000006
0000152;spozniony;365;000006
0000153;nieobecny;391;000006
0000154;obecny;402;000006
0000155;spozniony;434;000006
0000156;obecny;437;000006
0000157;spozniony;439;000006
0000158;spozniony;447;000006
0000159;spozniony;456;000006
0000160;obecny;479;000006
0000161;nieobecny;023;000007
0000162;nieobecny;032;000007
0000163;spozniony;061;000007
0000164;nieobecny;064;000007
0000165;spozniony;072;000007
0000166;nieobecny;093;000007
0000167;obecny;162;000007
0000168;obecny;193;000007
0000169;obecny;194;000007
0000170;nieobecny;212;000007
0000171;obecny;219;000007
0000172;obecny;222;000007
0000173;nieobecny;229;000007
0000174;nieobecny;232;000007
0000175;obecny;242;000007
0000176;nieobecny;261;000007
0000177;spozniony;271;000007
0000178;spozniony;278;000007
0000179;obecny;300;000007
0000180;obecny;318;000007
0000181;spozniony;335;000007
0000182;spozniony;355;000007
0000183;spozniony;363;000007
0000184;spozniony;377;000007
0000185;obecny;383;000007
0000186;nieobecny;390;000007
0000187;spozniony;406;000007
0000188;obecny;431;000007
0000189;obecny;019;000008
0000190;obecny;035;000008
0000191;obecny;053;000008
0000192;spozniony;100;000008
0000193;obecny;114;000008
0000194;nieobecny;132;000008
0000195;nieobecny;151;000008
0000196;nieobecny;163;000008
0000197;obecny;187;000008
0000198;spozniony;203;000008
0000199;nieobecny;215;000008
0000200;obecny;217;000008
0000201;nieobecny;226;000008
0000202;nieobecny;239;000008
0000203;obecny;249;000008
0000204;nieobecny;262;000008
0000205;spozniony;265;000008
0000206;spozniony;279;000008
0000207;nieobecny;299;000008
0000208;obecny;308;000008
0000209;spozniony;315;000008
0000210;nieobecny;325;000008
0000211;nieobecny;332;000008
0000212;nieobecny;333;000008
0000213;obecny;337;000008
0000214;obecny;348;000008
0000215;obecny;378;000008
0000216;nieobecny;388;000008
0000217;obecny;393;000008
0000218;nieobecny;400;000008
0000219;spozniony;404;000008
0000220;spozniony;407;000008
0000221;nieobecny;442;000008
0000222;spozniony;463;000008
0000223;obecny;476;000008
0000224;obecny;011;000009
0000225;obecny;017;000009
0000226;spozniony;020;000009
0000227;obecny;037;000009
0000228;nieobecny;038;000009
0000229;obecny;043;000009
0000230;obecny;077;000009
0000231;nieobecny;086;000009
0000232;obecny;087;000009
0000233;spozniony;112;000009
0000234;spozniony;134;000009
0000235;obecny;146;000009
0000236;nieobecny;158;000009
0000237;obecny;161;000009
0000238;nieobecny;167;000009
0000239;spozniony;170;000009
0000240;nieobecny;176;000009
0000241;nieobecny;183;000009
0000242;spozniony;228;000009
0000243;spozniony;244;000009
0000244;obecny;266;000009
0000245;nieobecny;274;000009
0000246;nieobecny;297;000009
0000247;spozniony;302;000009
0000248;obecny;304;000009
0000249;spozniony;322;000009
0000250;obecny;340;000009
0000251;nieobecny;347;000009
0000252;spozniony;349;000009
0000253;nieobecny;350;000009
0000254;nieobecny;360;000009
0000255;nieobecny;369;000009
0000256;nieobecny;384;000009
0000257;nieobecny;412;000009
0000258;obecny;425;000009
0000259;spozniony;428;000009
0000260;obecny;432;000009
0000261;nieobecny;435;000009
0000262;nieobecny;445;000009
0000263;nieobecny;467;000009
0000264;nieobecny;473;000009
0000265;spozniony;023;000010
0000266;spozniony;032;000010
0000267;spozniony;061;000010
0000268;obecny;064;000010
0000269;obecny;072;000010
0000270;spozniony;093;000010
0000271;obecny;162;000010
