ID;stopien;waga;opis;data;uczen;nauczyciel;przedmiot
000001;ndst;0;Brak_opisu;2020-09-28 00:00:00;49;036;chemia
000002;dst;6;Brak_opisu;2020-01-20 00:00:00;375;029;WOS
000003;brak;2;Brak_opisu;2020-10-14 00:00:00;7;022;historia
000004;dst;4;Brak_opisu;2020-07-02 00:00:00;372;052;j.niemiecki
000005;dop;8;Brak_opisu;2020-03-01 00:00:00;226;025;wf
000006;brak;7;Brak_opisu;2020-12-25 00:00:00;194;064;j.polski
000007;dop;3;Brak_opisu;2020-09-18 00:00:00;96;095;fizyka
000008;bdb;4;Brak_opisu;2020-03-20 00:00:00;114;034;j.niemiecki
000009;cel;1;Brak_opisu;2020-10-11 00:00:00;329;007;wf
000010;cel;5;Brak_opisu;2020-07-27 00:00:00;171;042;matematyka
000011;brak;6;Brak_opisu;2020-07-18 00:00:00;316;034;j.niemiecki
000012;brak;4;Brak_opisu;2020-03-08 00:00:00;289;090;matematyka
000013;db;1;Brak_opisu;2020-07-22 00:00:00;294;006;historia
000014;dop;7;Brak_opisu;2020-02-02 00:00:00;168;031;chemia
000015;db;2;Brak_opisu;2020-02-02 00:00:00;170;080;j.angielski
000016;cel;6;Brak_opisu;2020-02-14 00:00:00;256;018;fizyka
000017;brak;2;Brak_opisu;2020-02-09 00:00:00;223;079;j.niemiecki
000018;dop;1;Brak_opisu;2020-10-24 00:00:00;132;008;geografia
000019;ndst;8;Brak_opisu;2020-09-05 00:00:00;33;022;historia
000020;dst;7;Brak_opisu;2020-12-15 00:00:00;385;025;wf
000021;bdb;2;Brak_opisu;2020-09-05 00:00:00;42;049;chemia
000022;dop;9;Brak_opisu;2020-11-13 00:00:00;327;040;matematyka
000023;brak;6;Brak_opisu;2020-10-03 00:00:00;384;026;chemia
000024;ndst;6;Brak_opisu;2020-03-18 00:00:00;263;013;fizyka
000025;brak;4;Brak_opisu;2020-09-02 00:00:00;264;003;j.angielski
000026;dop;1;Brak_opisu;2020-12-18 00:00:00;82;032;historia
000027;dop;8;Brak_opisu;2020-09-12 00:00:00;242;081;chemia
000028;bdb;2;Brak_opisu;2020-03-14 00:00:00;347;036;chemia
000029;db;8;Brak_opisu;2020-10-22 00:00:00;174;095;fizyka
000030;dop;3;Brak_opisu;2020-02-22 00:00:00;211;065;biologia
000031;dst;2;Brak_opisu;2020-07-13 00:00:00;359;023;j.niemiecki
000032;cel;5;Brak_opisu;2020-10-20 00:00:00;427;100;WOS
000033;bdb;1;Brak_opisu;2020-10-11 00:00:00;371;004;historia
000034;db;9;Brak_opisu;2020-12-11 00:00:00;291;085;wf
000035;bdb;6;Brak_opisu;2020-06-20 00:00:00;477;086;WOS
000036;brak;1;Brak_opisu;2020-02-11 00:00:00;292;015;j.polski
000037;cel;3;Brak_opisu;2020-02-03 00:00:00;8;022;historia
000038;dop;8;Brak_opisu;2020-05-03 00:00:00;359;033;j.niemiecki
000039;ndst;0;Brak_opisu;2020-06-12 00:00:00;423;022;historia
000040;db;6;Brak_opisu;2020-11-08 00:00:00;385;006;historia
